objectid,stationid,sampledate,latitude,longitude,depth,stratum,areaqweight,plasticpolymer,plastictype,count
147,B13-8146,2013-08-07,32.76246121,-117.2362109,8,Marina,0.15000001,HDPE,Line,1
148,B13-8146,2013-08-07,32.76246121,-117.2362109,8,Marina,0.15000001,HDPE,Film,2
149,B13-8146,2013-08-07,32.76246121,-117.2362109,8,Marina,0.15000001,PS,Fragments,6
150,B13-8146,2013-08-07,32.76246121,-117.2362109,8,Marina,0.15000001,PS,Film,1
151,B13-8146,2013-08-07,32.76246121,-117.2362109,8,Marina,0.15000001,Nylon,Fragments,3
152,B13-8146,2013-08-07,32.76246121,-117.2362109,8,Marina,0.15000001,Nylon,Line,3
153,B13-8146,2013-08-07,32.76246121,-117.2362109,8,Marina,0.15000001,Nylon,Line,3
154,B13-8146,2013-08-07,32.76246121,-117.2362109,8,Marina,0.15000001,PVC,Fragments,3
155,B13-8146,2013-08-07,32.76246121,-117.2362109,8,Marina,0.15000001,PET (or PC),Fragments,2
156,B13-8146,2013-08-07,32.76246121,-117.2362109,8,Marina,0.15000001,Combo,Combo Plastic,1
157,B13-8146,2013-08-07,32.76246121,-117.2362109,8,Marina,0.15000001,Unknown,Unknown,100
158,B13-8146,2013-08-07,32.76246121,-117.2362109,8,Marina,0.15000001,Too small to test,Too small to test,521
159,B13-8146,2013-08-07,32.76246121,-117.2362109,8,Marina,0.15000001,Metal,Metal,1
160,B13-8146,2013-08-07,32.76246121,-117.2362109,8,Marina,0.15000001,Organic cloth/ line,Organic cloth/ line,1
161,B13-8146,2013-08-07,32.76246121,-117.2362109,8,Marina,0.15000001,Wood,Wood,1
162,B13-8146,2013-08-07,32.76246121,-117.2362109,8,Marina,0.15000001,Combo,Combo Other,1
163,B13-8151,2013-08-07,32.7672091,-117.2356074,4,Marina,0.15000001,Unknown,Unknown,69
164,B13-8152,2013-08-07,32.76790521,-117.2414807,7,Bay,0.56999999,PU,Foam Foam,1
165,B13-8152,2013-08-07,32.76790521,-117.2414807,7,Bay,0.56999999,PS,Fragments,1
166,B13-8152,2013-08-07,32.76790521,-117.2414807,7,Bay,0.56999999,Unknown,Unknown,4
167,B13-8156,2013-08-07,32.78070466,-117.2492776,3,Marina,0.41999999,Nylon,Film,1
168,B13-8156,2013-08-07,32.78070466,-117.2492776,3,Marina,0.41999999,Unknown,Unknown,40
169,B13-8157,2013-08-08,32.78293864,-117.2300034,3,Bay,3.24000001,Unknown,Unknown,22
170,B13-8159,2013-08-08,32.78447464,-117.2153579,4,Bay,3.24000001,NA,NA,0
171,B13-8169,2013-08-02,32.93173,-117.252134,2,Estuaries,0.04,HDPE,Film,3
172,B13-8169,2013-08-02,32.93173,-117.252134,2,Estuaries,0.04,PS,Fragments,1
173,B13-8169,2013-08-02,32.93173,-117.252134,2,Estuaries,0.04,Nylon,Fragments,3
174,B13-8169,2013-08-02,32.93173,-117.252134,2,Estuaries,0.04,Nylon,Film,1
175,B13-8176,2013-08-02,32.933605,-117.256722,1,Estuaries,0.04,HDPE,Fragments,1
176,B13-8176,2013-08-02,32.933605,-117.256722,1,Estuaries,0.04,Nylon,Fragments,1
177,B13-8179,2013-08-02,32.96612,-117.252479,1,Estuaries,0.11,NA,NA,0
178,B13-8180,2013-08-02,32.96641,-117.257924,1,Estuaries,0.11,HDPE,Fragments,1
179,B13-8187,2013-08-02,32.970772,-117.258239,1,Estuaries,0.11,NA,NA,0
180,B13-8188,2013-07-29,33.01602403,-117.28064,1,Estuaries,0.03,NA,NA,0
181,B13-8189,2013-07-29,33.012085,-117.274574,1,Estuaries,0.03,NA,NA,0
182,B13-8200,2013-08-06,33.085016,-117.309694,2,Estuaries,0.30000001,Nylon,Fragments,6
183,B13-8200,2013-08-06,33.085016,-117.309694,2,Estuaries,0.30000001,Nylon,Line,5
184,B13-8200,2013-08-06,33.085016,-117.309694,2,Estuaries,0.30000001,Nylon,Film,2
185,B13-8202,2013-08-06,33.088054,-117.29133,1,Estuaries,0.30000001,NA,NA,0
186,B13-8205,2013-08-06,33.088835,-117.295835,2,Estuaries,0.30000001,NA,NA,0
187,B13-8218,2013-07-30,33.139135,-117.337719,6,Estuaries,0.34999999,NA,NA,0
188,B13-8219,2013-07-30,33.139464,-117.318749,1,Estuaries,0.34999999,HDPE,Film,2
189,B13-8222,2013-07-30,33.140108,-117.32432,3,Estuaries,0.34999999,NA,NA,0
190,B13-8248,2013-08-07,33.231939,-117.413078,1,Estuaries,0.07,HDPE,Fragments,2
191,B13-8248,2013-08-07,33.231939,-117.413078,1,Estuaries,0.07,HDPE,Film,1
192,B13-8250,2013-08-07,33.232024,-117.412454,1,Estuaries,0.07,NA,NA,0
193,B13-8253,2013-08-07,33.233207,-117.413261,1,Estuaries,0.07,NA,NA,0
194,B13-8269,2013-08-01,33.60089925,-117.8946615,3,Marina,0.63,HDPE,Fragments,3
195,B13-8269,2013-08-01,33.60089925,-117.8946615,3,Marina,0.63,HDPE,Line,1
196,B13-8269,2013-08-01,33.60089925,-117.8946615,3,Marina,0.63,HDPE,Film,5
197,B13-8273,2013-09-27,33.60909831,-117.9046387,6,Marina,0.63,HDPE,Fragments,11
198,B13-8273,2013-09-27,33.60909831,-117.9046387,6,Marina,0.63,HDPE,Line,4
199,B13-8273,2013-09-27,33.60909831,-117.9046387,6,Marina,0.63,HDPE,Film,4
200,B13-8273,2013-09-27,33.60909831,-117.9046387,6,Marina,0.63,PP,Fragments,1
201,B13-8273,2013-09-27,33.60909831,-117.9046387,6,Marina,0.63,PP,Foam,1
202,B13-8273,2013-09-27,33.60909831,-117.9046387,6,Marina,0.63,Nylon,Fragments,2
203,B13-8273,2013-09-27,33.60909831,-117.9046387,6,Marina,0.63,Nylon,Film,1
204,B13-8274,2013-08-01,33.61386719,-117.9148112,3,Marina,0.63,HDPE,Fragments,4
205,B13-8275,2013-09-20,33.61531,-117.89431,6,Marina,0.63,HDPE,Fragments,2
206,B13-8275,2013-09-20,33.61531,-117.89431,6,Marina,0.63,HDPE,Line,5
207,B13-8275,2013-09-20,33.61531,-117.89431,6,Marina,0.63,Nylon,Line,2
208,B13-8279,2013-09-20,33.61643,-117.90532,12,Estuaries,0.63,NA,NA,0
209,B13-8280,2013-08-01,33.61925049,-117.9269206,6,Marina,0.63,HDPE,Film,4
210,B13-8280,2013-08-01,33.61925049,-117.9269206,6,Marina,0.63,PS,Film,1
211,B13-8286,2013-07-26,33.63577784,-117.9561824,6,Estuaries,0.31999999,NA,NA,0
212,B13-8287,2013-07-26,33.6365383,-117.9537394,3,Estuaries,0.31999999,Nylon,Fragments,9
213,B13-8287,2013-07-26,33.6365383,-117.9537394,3,Estuaries,0.31999999,Nylon,Line,10
214,B13-8287,2013-07-26,33.6365383,-117.9537394,3,Estuaries,0.31999999,Nylon,Film,6
215,B13-8287,2013-07-26,33.6365383,-117.9537394,3,Estuaries,0.31999999,PET (or PC),Fragments,1
216,B13-8290,2013-09-04,33.64579,-117.8889,18,Estuaries,0.31999999,HDPE,Line,10
217,B13-8290,2013-09-04,33.64579,-117.8889,18,Estuaries,0.31999999,HDPE,Film,1
218,B13-8291,2013-09-04,33.64676,-117.88682,20,Estuaries,0.31999999,PS,Foam Fragments,1
219,B13-8291,2013-09-04,33.64676,-117.88682,20,Estuaries,0.31999999,HDPE,Fragments,63
220,B13-8291,2013-09-04,33.64676,-117.88682,20,Estuaries,0.31999999,HDPE,Line,20
221,B13-8291,2013-09-04,33.64676,-117.88682,20,Estuaries,0.31999999,HDPE,Film,8
222,B13-8291,2013-09-04,33.64676,-117.88682,20,Estuaries,0.31999999,PP,Fragments,2
223,B13-8291,2013-09-04,33.64676,-117.88682,20,Estuaries,0.31999999,PP,Film,1
224,B13-8291,2013-09-04,33.64676,-117.88682,20,Estuaries,0.31999999,Nylon,Fragments,51
225,B13-8291,2013-09-04,33.64676,-117.88682,20,Estuaries,0.31999999,Nylon,Film,1
226,B13-8291,2013-09-04,33.64676,-117.88682,20,Estuaries,0.31999999,Too small to test,Too small to test,43
227,B13-8292,2013-09-04,33.64705,-117.88421,19,Estuaries,0.31999999,HDPE,Fragments,7
228,B13-8292,2013-09-04,33.64705,-117.88421,19,Estuaries,0.31999999,HDPE,Line,22
229,B13-8292,2013-09-04,33.64705,-117.88421,19,Estuaries,0.31999999,HDPE,Film,6
230,B13-8292,2013-09-04,33.64705,-117.88421,19,Estuaries,0.31999999,PP,Fragments,1
231,B13-8295,2013-09-12,33.6865,-118.03607,9,Estuaries,0.31999999,NA,NA,0
232,B13-8298,2013-09-12,33.69741,-118.04051,8,Estuaries,0.31999999,NA,NA,0
233,B13-8301,2013-09-12,33.70984,-118.0597,5,Estuaries,0.31999999,NA,NA,0
234,B13-8302,2013-07-11,33.71242,-118.2579,25,Bay,2,Nylon,Film,1
235,B13-8302,2013-07-11,33.71242,-118.2579,25,Bay,2,Unknown,Unknown,4
236,B13-8304,2013-07-11,33.71345,-118.24131,24,Bay,2,Unknown,Unknown,2
237,B13-8306,2013-07-11,33.71475,-118.28269,3,Bay,2,HDPE,Line,1
238,B13-8306,2013-07-11,33.71475,-118.28269,3,Bay,2,HDPE,Film,2
239,B13-8306,2013-07-11,33.71475,-118.28269,3,Bay,2,Nylon,Film,1
240,B13-8306,2013-07-11,33.71475,-118.28269,3,Bay,2,Unknown,Unknown,1
241,B13-8308,2013-07-11,33.7174,-118.24385,23,Port,0.94999999,NA,NA,0
242,B13-8310,2013-07-11,33.71791,-118.23298,14,Port,0.94999999,NA,NA,0
243,B13-8315,2013-07-09,33.72425,-118.15265,15,Bay,2,HDPE,Fragments,2
244,B13-8315,2013-07-09,33.72425,-118.15265,15,Bay,2,Nylon,Fragments,2
245,B13-8315,2013-07-09,33.72425,-118.15265,15,Bay,2,Nylon,Line,4
246,B13-8315,2013-07-09,33.72425,-118.15265,15,Bay,2,Nylon,Film,1
247,B13-8316,2013-07-11,33.72387,-118.2627,27,Port,0.94999999,Nylon,Film,1
248,B13-8316,2013-07-11,33.72387,-118.2627,27,Port,0.94999999,PET (or PC),Fragments,5
249,B13-8316,2013-07-11,33.72387,-118.2627,27,Port,0.94999999,Unknown,Unknown,0
250,B13-8318,2013-07-13,33.72421,-118.22437,18,Bay,2,HDPE,Fragments,1
251,B13-8318,2013-07-13,33.72421,-118.22437,18,Bay,2,Unknown,Unknown,5
252,B13-8319,2013-07-11,33.72576667,-118.1375833,12,Bay,2,HDPE,Line,1
253,B13-8319,2013-07-11,33.72576667,-118.1375833,12,Bay,2,HDPE,Film,1
254,B13-8319,2013-07-11,33.72576667,-118.1375833,12,Bay,2,Nylon,Fragments,3
255,B13-8319,2013-07-11,33.72576667,-118.1375833,12,Bay,2,Nylon,Line,5
256,B13-8321,2013-09-06,33.72707,-118.07011,16,Marina,0.63,HDPE,Fragments,10
257,B13-8321,2013-09-06,33.72707,-118.07011,16,Marina,0.63,HDPE,Line,2
258,B13-8321,2013-09-06,33.72707,-118.07011,16,Marina,0.63,HDPE,Film,1
259,B13-8321,2013-09-06,33.72707,-118.07011,16,Marina,0.63,Nylon,Fragments,3
260,B13-8322,2013-07-13,33.72762,-118.21274,21,Bay,2,NA,NA,0
261,B13-8325,2013-07-17,33.7283,-118.1569333,14,Bay,2,NA,NA,0
262,B13-8326,2013-07-10,33.72924,-118.23361,11,Port,0.94999999,HDPE,Line,1
263,B13-8326,2013-07-10,33.72924,-118.23361,11,Port,0.94999999,Unknown,Unknown,16
264,B13-8328,2013-09-06,33.73076,-118.08191,18,Estuaries,0.31999999,HDPE,Fragments,1
265,B13-8328,2013-09-06,33.73076,-118.08191,18,Estuaries,0.31999999,HDPE,Line,2
266,B13-8328,2013-09-06,33.73076,-118.08191,18,Estuaries,0.31999999,Nylon,Fragments,1
267,B13-8328,2013-09-06,33.73076,-118.08191,18,Estuaries,0.31999999,Nylon,Line,3
268,B13-8328,2013-09-06,33.73076,-118.08191,18,Estuaries,0.31999999,Nylon,Foam,1
269,B13-8333,2013-07-13,33.7311,-118.1924,15,Port,0.94999999,Nylon,Film,1
270,B13-8333,2013-07-13,33.7311,-118.1924,15,Port,0.94999999,Unknown,Unknown,1
272,B13-8340,2013-07-12,33.73549,-118.27676,18,Port,0.94999999,HDPE,Line,1
273,B13-8340,2013-07-12,33.73549,-118.27676,18,Port,0.94999999,PS,Film,1
274,B13-8340,2013-07-12,33.73549,-118.27676,18,Port,0.94999999,Unknown,Unknown,1
275,B13-8346,2013-07-11,33.73908333,-118.1450167,10,Bay,2,NA,NA,0
276,B13-8347,2013-07-12,33.73891,-118.21039,27,Port,0.94999999,PET (or PC),Fragments,2
277,B13-8347,2013-07-12,33.73891,-118.21039,27,Port,0.94999999,Unknown,Unknown,22
278,B13-8349,2013-07-10,33.73906,-118.23651,14,Port,0.94999999,HDPE,Fragments,3
279,B13-8349,2013-07-10,33.73906,-118.23651,14,Port,0.94999999,Unknown,Unknown,3
