objectid,stationid,sampledate,latitude,longitude,watershed,river_sitedescription,debriscategory,debrisitem,resulttotal
38,801M16976,6/6/18,34.01584,-117.37031,Santa Ana,Santa Ana River,Plastic,Bag - single use,14
44,801M16976,6/6/18,34.01584,-117.37031,Santa Ana,Santa Ana River,Plastic,Hard Plastic Pieces,4
52,801M16976,6/6/18,34.01584,-117.37031,Santa Ana,Santa Ana River,Biodegradable,Paper/ cardboard,3
41,801M16976,6/6/18,34.01584,-117.37031,Santa Ana,Santa Ana River,Plastic,Container Cap/Pieces,6
48,801M16976,6/6/18,34.01584,-117.37031,Santa Ana,Santa Ana River,Plastic,Straw/Stirrer,4
43,801M16976,6/6/18,34.01584,-117.37031,Santa Ana,Santa Ana River,Plastic,Foam Food Containers,6
47,801M16976,6/6/18,34.01584,-117.37031,Santa Ana,Santa Ana River,Plastic,Soft Plastic Pieces,5
51,801M16976,6/6/18,34.01584,-117.37031,Santa Ana,Santa Ana River,Biodegradable,Food Waste,4
37,801M16976,6/6/18,34.01584,-117.37031,Santa Ana,Santa Ana River,Plastic,Bag - reusable,1
46,801M16976,6/6/18,34.01584,-117.37031,Santa Ana,Santa Ana River,Plastic,Plastic Straw Wrapper,1
50,801M16976,6/6/18,34.01584,-117.37031,Santa Ana,Santa Ana River,Fabric_Cloth,Synthetic Fabric,2
55,801M16976,6/6/18,34.01584,-117.37031,Santa Ana,Santa Ana River,Metal,Metal Bottle Caps,4
42,801M16976,6/6/18,34.01584,-117.37031,Santa Ana,Santa Ana River,Plastic,Cups,3
45,801M16976,6/6/18,34.01584,-117.37031,Santa Ana,Santa Ana River,Plastic,Plastic Bottles,4
54,801M16976,6/6/18,34.01584,-117.37031,Santa Ana,Santa Ana River,Metal,Aluminum or Steel Cans,2
59,801M16976,6/6/18,34.01584,-117.37031,Santa Ana,Santa Ana River,Miscellaneous,Waxed Paper Cups/Plates,2
40,801M16976,6/6/18,34.01584,-117.37031,Santa Ana,Santa Ana River,Plastic,Cigarette Butts,6
56,801M16976,6/6/18,34.01584,-117.37031,Santa Ana,Santa Ana River,Metal,Metal Other,1
58,801M16976,6/6/18,34.01584,-117.37031,Santa Ana,Santa Ana River,Miscellaneous,Mylar balloons,1
49,801M16976,6/6/18,34.01584,-117.37031,Santa Ana,Santa Ana River,Plastic,Wrapper/Wrapper Pieces,15
53,801M16976,6/6/18,34.01584,-117.37031,Santa Ana,Santa Ana River,Glass,Glass Bottles,3
39,801M16976,6/6/18,34.01584,-117.37031,Santa Ana,Santa Ana River,Plastic,Bag Pieces,1
57,801M16976,6/6/18,34.01584,-117.37031,Santa Ana,Santa Ana River,Miscellaneous,E-waste,2
305,845PS0011,6/12/18,33.88054,-117.89743,San Gabriel,Fullerton Creek,Plastic,Foam Cups,1
306,845PS0011,6/12/18,33.88054,-117.89743,San Gabriel,Fullerton Creek,Plastic,Foam Pieces/Pellets,2
310,845PS0011,6/12/18,33.88054,-117.89743,San Gabriel,Fullerton Creek,Biodegradable,Paper/ cardboard,1
312,845PS0011,6/12/18,33.88054,-117.89743,San Gabriel,Fullerton Creek,Construction,Concrete/Asphalt,1
315,845PS0011,6/12/18,33.88054,-117.89743,San Gabriel,Fullerton Creek,Metal,Metal Other,1
304,845PS0011,6/12/18,33.88054,-117.89743,San Gabriel,Fullerton Creek,Plastic,Bag Pieces,1
314,845PS0011,6/12/18,33.88054,-117.89743,San Gabriel,Fullerton Creek,Metal,"Nails, Screws, Bolts, etc.",1
307,845PS0011,6/12/18,33.88054,-117.89743,San Gabriel,Fullerton Creek,Plastic,Hard Plastic Pieces,1
309,845PS0011,6/12/18,33.88054,-117.89743,San Gabriel,Fullerton Creek,Plastic,Wrapper/Wrapper Pieces,5
308,845PS0011,6/12/18,33.88054,-117.89743,San Gabriel,Fullerton Creek,Plastic,Soft Plastic Pieces,1
313,845PS0011,6/12/18,33.88054,-117.89743,San Gabriel,Fullerton Creek,Glass,Glass Pieces,6
368,901M14141,4/30/18,33.52171,-117.62216,San Juan Creek,San Juan Creek,Plastic,Foam Cups,1
369,901M14141,4/30/18,33.52171,-117.62216,San Juan Creek,San Juan Creek,Plastic,Single Use Container,1
338,901M14142,5/31/18,33.62131,-117.68977,Aliso-San Onofre,Aliso Creek,Plastic,Foam Pieces/Pellets,1
335,901M14142,5/31/18,33.62131,-117.68977,Aliso-San Onofre,Aliso Creek,Plastic,Chip Bags,2
342,901M14142,5/31/18,33.62131,-117.68977,Aliso-San Onofre,Aliso Creek,Plastic,Straw/Stirrer,1
334,901M14142,5/31/18,33.62131,-117.68977,Aliso-San Onofre,Aliso Creek,Plastic,Beverage Bottles,1
347,901M14142,5/31/18,33.62131,-117.68977,Aliso-San Onofre,Aliso Creek,Fabric_Cloth,Synthetic Fabric,2
337,901M14142,5/31/18,33.62131,-117.68977,Aliso-San Onofre,Aliso Creek,Plastic,Foam Cups,2
332,901M14142,5/31/18,33.62131,-117.68977,Aliso-San Onofre,Aliso Creek,Plastic,Bag - single use,4
349,901M14142,5/31/18,33.62131,-117.68977,Aliso-San Onofre,Aliso Creek,Biohazard,Human Waste/Diapers/TP,1
350,901M14142,5/31/18,33.62131,-117.68977,Aliso-San Onofre,Aliso Creek,Metal,Aluminum Foil pieces,4
339,901M14142,5/31/18,33.62131,-117.68977,Aliso-San Onofre,Aliso Creek,Plastic,Hard Plastic Container,1
348,901M14142,5/31/18,33.62131,-117.68977,Aliso-San Onofre,Aliso Creek,Biodegradable,Paper/ cardboard,4
341,901M14142,5/31/18,33.62131,-117.68977,Aliso-San Onofre,Aliso Creek,Plastic,Soft Plastic Pieces,2
340,901M14142,5/31/18,33.62131,-117.68977,Aliso-San Onofre,Aliso Creek,Plastic,Hard Plastic Pieces,1
